name, category, description, image, texture, formula, physical_structure, sustainability_score, main_attribute
'mycelium', '生物基材料', '真菌菌丝体生长的生物材料，可替代泡沫塑料', 'mycelium.png', '海绵状', '真菌菌丝体100%', '三维生物纤维网络', 5, '完全可降解'
'pla', '生物基材料', '聚乳酸，源自玉米淀粉的可生物降解塑料', 'pla.png', '光滑', '玉米淀粉衍生的乳酸聚合物100%', '半结晶热塑性结构', 3, '可堆肥'
'soy_adhesive', '生物基材料', '大豆蛋白制成的无甲醛胶粘剂', 'soy_adhesive.png', '粘稠', '大豆蛋白50-60%，水30-40%，交联剂10%', '蛋白质交联网络', 4, '无毒'
'straw_board', '生物基材料', '农作物秸秆压制而成的建筑板材', 'straw_board.png', '纤维状', '农作物秸秆85-95%，MDI胶5-15%', '定向刨花板结构', 4, '农业副产品利用'
'construction_waste_recycled_stone', '回收再利用材料', '建筑废料再加工制成的人造石材', 'construction_waste_recycled_stone.png', '石质', '建筑废料骨料80-90%，水泥基粘合剂10-20%', '再生骨料复合材料', 4, '废物再利用'
'denim_board', '回收再利用材料', '废旧牛仔布料压制而成的板材', 'denim_board.png', '纤维状', '废旧牛仔布纤维100%', '致密纤维板', 4, '纺织品回收'
'industrial_solid_waste_recycled_stone', '回收再利用材料', '工业固体废物制成的人造石材', 'industrial_solid_waste_recycled_stone.png', '石质', '工业废渣85-95%，粘结剂5-15%', '烧结或压制复合结构', 3, '工业废料利用'
'recycled_board_from_tetra_pak_packaging', '回收再利用材料', '利乐包装回收制成的板材', 'recycled_board_from_tetra_pak_packaging.png', '层压', '利乐包装纸塑铝复合材料100%', '层压板结构', 4, '包装回收'
'recycled_ceramictiles', '回收再利用材料', '废旧陶瓷再加工制成的地砖或墙砖', 'recycled_ceramictiles.png', '陶瓷', '废旧陶瓷粉70-80%，新陶瓷原料20-30%', '烧结陶瓷结构', 4, '高耐用性'
'recycled_ceramic_bricks', '回收再利用材料', '废旧陶瓷制成的建筑砖块', 'recycled_ceramic_bricks.png', '粗糙', '废陶瓷颗粒60-70%，粘土30-40%', '烧结复合结构', 4, '高热质量'
'recycled_glass', '回收再利用材料', '废玻璃再加工制成的各种建筑材料', 'recycled_glass.png', '玻璃', '废玻璃碎片100%', '非晶态固体', 4, '无限可回收'
'recycled_nylon_yarn', '回收再利用材料', '废旧尼龙制品再生制成的纱线', 'recycled_nylon_yarn.png', '纤维', '废旧尼龙制品100%', '熔融纺丝纤维结构', 3, '减少石油使用'
'recycled_plastic_bricks', '回收再利用材料', '废旧塑料压制而成的建筑砖块', 'recycled_plastic_bricks.png', '塑料', '废旧塑料80-90%，填充料10-20%', '熔融压制块体', 3, '塑料废物利用'
'recycled_rubber', '回收再利用材料', '废旧轮胎等橡胶制品回收再利用', 'recycled_rubber.png', '弹性', '废旧橡胶制品100%', '交联弹性体网络', 3, '减少橡胶污染'
'recycled_rubberconcrete', '回收再利用材料', '掺入橡胶颗粒的混凝土', 'recycled_rubberconcrete.png', '粗糙', '橡胶颗粒15-20%，混凝土基质80-85%', '弹性颗粒分散相复合材料', 3, '减震性能'
'recycled_steel', '回收再利用材料', '废钢铁回收再加工的钢材', 'recycled_steel.png', '金属', '废钢铁100%', '铁基合金晶体结构', 5, '无限可回收'
'waste_textile_acoustic_cotton', '回收再利用材料', '废旧纺织品制成的吸音棉', 'waste_textile_acoustic_cotton.png', '纤维状', '废旧纺织品纤维100%', '多孔纤维毡', 4, '优良吸音'
'waste_textile_flooring', '回收再利用材料', '废旧纺织品制成的地板材料', 'waste_textile_flooring.png', '纹理', '废旧纺织品80-90%，粘合剂10-20%', '层压纤维结构', 4, '柔软舒适'
'aerogel_thermal_insulation_material', '高性能复合材料', '超轻气凝胶隔热材料，具有极低导热系数', 'aerogel_thermal_insulation_material.png', '多孔/轻质', '二氧化硅前驱体95-98%，表面改性剂2-5%', '纳米多孔网络(孔隙率>90%)', 3, '超强隔热'
'basalt_reinforced_composite_material', '高性能复合材料', '玄武岩纤维增强的复合材料', 'basalt_reinforced_composite_material.png', '纤维增强', '玄武岩纤维30-50%，聚合物基质50-70%', '纤维增强复合材料', 4, '高强度'
'carbon_fiber_composite_material', '高性能复合材料', '碳纤维增强的高性能复合材料', 'carbon_fiber_composite_material.png', '纤维状', '碳纤维40-60%，环氧树脂40-60%', '高强度纤维增强结构', 2, '超高强度'
'carbon_fixed_concrete', '高性能复合材料', '能够吸收并固定二氧化碳的混凝土', 'carbon_fixed_concrete.png', '石质', '水泥30-40%，CO2吸收添加剂5-10%，骨料50-65%', '碳酸钙矿化水泥基复合材料', 4, '碳封存'
'carbon_fixed_foam_material', '高性能复合材料', '具有碳固定功能的泡沫材料', 'carbon_fixed_foam_material.png', '多孔', '聚合物基质60-70%，CO2发泡剂30-40%', '闭孔泡沫结构', 4, '轻质隔热'
'charred_cork', '高性能复合材料', '炭化处理的软木材料，具有特殊性能', 'charred_cork.png', '多孔', '软木100%', '炭化多孔蜂窝结构', 4, '防火'
'composite_materials', '高性能复合材料', '多种材料复合而成的多功能材料', 'composite_materials.png', '多样', '根据具体复合体系变化', '多相异质结构', 3, '性能可设计'
'editable_cement', '高性能复合材料', '可再加工和重塑的水泥基材料', 'editable_cement.png', '可塑', '硫铝酸盐水泥60-70%，可逆反应添加剂30-40%', '可重构晶体结构', 3, '可重复使用'
'flexible_concrete', '高性能复合材料', '具有弹性变形能力的混凝土', 'flexible_concrete.png', '弹性', '水泥30-40%，弹性聚合物20-30%，骨料30-50%', '弹性复合材料', 3, '抗震'
'fly_ash_glass', '高性能复合材料', '粉煤灰制成的玻璃材料', 'fly_ash_glass.png', '玻璃', '粉煤灰70-80%，助熔剂20-30%', '非晶态硅酸盐结构', 4, '工业废料利用'
'geopolymer_brick', '高性能复合材料', '地质聚合物技术生产的砖块', 'geopolymer_brick.png', '石质', '粉煤灰/矿渣60-70%，碱性激活剂30-40%', '三维铝硅酸盐网络', 4, '低碳生产'
'geopolymer_cement', '高性能复合材料', '传统水泥的低碳替代品', 'geopolymer_cement.png', '粉末', '工业废渣70-80%，碱激发剂20-30%', '无定形地质聚合物凝胶', 4, '低碳'
'graphene_reinforced_concrete', '高性能复合材料', '石墨烯增强的高性能混凝土', 'graphene_reinforced_concrete.png', '致密', '石墨烯0.5-1%，水泥30-40%，骨料60-70%', '纳米增强复合材料', 3, '超高强度'
'high-strength_steel', '高性能复合材料', '超高强度钢材', 'high-strength_steel.png', '金属', '铁基合金(含碳0.2-0.5%，合金元素1-5%)', '马氏体/贝氏体晶体结构', 2, '结构强度'
'ultra-high-performance-concrete', '高性能复合材料', '超高性能混凝土(UHPC)', 'ultra-high-performance-concrete.png', '致密', '水泥20-30%，硅灰10-15%，石英粉15-20%，钢纤维5-10%', '致密颗粒堆积结构', 3, '超强耐久'
'aerogel_thermal_insulation_material', '高性能复合材料', '世界上最轻的固体材料，具有极低导热系数和超高孔隙率', 'aerogel_thermal_insulation_material.png', '超轻/多孔', '二氧化硅前驱体95-98%，表面改性剂2-5%', '纳米多孔网络(孔隙率>90%)', 3, '超强隔热（导热系数0.015W/m·K）'
'inorganic_electrochromic_glass', '智能响应材料', '无机电致变色智能玻璃', 'inorganic_electrochromic_glass.png', '玻璃', 'WO3/TiO2纳米薄膜50%，透明导电层50%', '多层薄膜结构', 4, '光热调节'
'phase_change_materials', '智能响应材料', '相变储能材料，用于温度调节', 'phase_change_materials.png', '多样', '石蜡/脂肪酸60-80%，封装材料20-40%', '微胶囊化相变体系', 4, '热能储存'
'reversible_adhesive', '智能响应材料', '可逆粘合的特殊粘合剂', 'reversible_adhesive.png', '粘性', 'Diels-Alder聚合物100%', '可逆交联网络', 4, '可重复粘合'
'self-cleaning_coating', '智能响应材料', '具有自清洁功能的表面涂层', 'self-cleaning_coating.png', '光滑', 'TiO2纳米颗粒20-30%，硅基树脂70-80%', '超疏水纳米结构表面', 4, '减少维护'
'self-healing_concrete', '智能响应材料', '能够自动修复裂缝的混凝土', 'self-healing_concrete.png', '石质', '水泥基质95-98%，微生物胶囊2-5%', '微胶囊分散体系', 4, '自修复'
'shape_memory_alloy', '智能响应材料', '形状记忆合金，具有温度响应性', 'shape_memory_alloy.png', '金属', '镍钛合金(NiTi)100%', '马氏体相变晶体', 2, '形态记忆'
'structural_color', '智能响应材料', '通过微结构而非色素产生的结构色', 'structural_color.png', '多样', '光子晶体结构100%', '周期性纳米结构', 4, '永不褪色'
'thermochromic_materials', '智能响应材料', '热致变色材料，随温度改变颜色', 'thermochromic_materials.png', '多样', '液晶化合物/热致变色染料50%，载体材料50%', '分子有序-无序转变体系', 4, '温度响应'
'transparent_wood', '智能响应材料', '经过特殊处理的透明木材', 'transparent_wood.png', '木质', '脱木质素木材70-80%，聚合物渗透20-30%', '各向异性多孔结构', 4, '透光隔热'
